age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-04T03:55:20+00:00,False,,White,Person search,,,bu-arrest,Arrest,51.523350,2285316.0,On or near Rowdell Avenue,-2.484420,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-04T03:55:20+00:00,False,,White,Person search,,,bu-arrest,Arrest,51.523350,2285316.0,On or near Rowdell Avenue,-2.484420,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-04T03:55:20+00:00,False,,White,Person search,,,bu-arrest,Arrest,51.523350,2285316.0,On or near Rowdell Avenue,-2.484420,
18-24,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-04T03:55:20+00:00,False,,Black,Person search,,,bu-arrest,Arrest,51.523350,2285316.0,On or near Rowdell Avenue,-2.484420,
18-24,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T05:10:29+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T05:10:29+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T12:42:53+00:00,True,,Mixed,Person search,,Controlled drugs,,,51.476398,2283170.0,On or near The Rosery,-2.519631,
over 34,,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-04T12:42:53+00:00,False,,White,Person search,,Controlled drugs,,,51.476398,2283170.0,On or near The Rosery,-2.519631,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T12:42:53+00:00,True,,Mixed,Person search,,Controlled drugs,,,51.476398,2283170.0,On or near The Rosery,-2.519631,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-04T13:12:10+00:00,False,,White,Person search,,Offensive weapons,,,51.291893,2286481.0,On or near Somervale Road,-2.455635,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T14:36:38+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-04T14:47:44+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.406587,2278416.0,On or near Petrol Station,-2.598689,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T15:19:39+00:00,False,,White,Person search,,Controlled drugs,,,51.406356,2278374.0,On or near Silcox Road,-2.599807,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-04T15:42:56+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,,,,,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T19:04:49+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,,,51.438813,2280175.0,On or near Clyde Road,-2.571732,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-04T20:07:00+00:00,True,,White,Person search,,Article for use in theft,,,51.020311,2266318.0,On or near Orchard Way,-3.072288,
25-34,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T21:26:01+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,,,51.441728,2281966.0,On or near Latimer Close,-2.542978,
,A no further action disposal,False,,,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-05T00:00:00+00:00,,,,Vehicle search,,,bu-no-further-action,A no further action disposal,51.241812,2267813.0,On or near Buckland Close,-2.983124,
18-24,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-05T00:58:25+00:00,False,,Mixed,Person search,,,,,51.464425,2279723.0,On or near Thomas Street,-2.578357,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-05T00:58:25+00:00,False,,White,Person search,,,,,51.464425,2279723.0,On or near Thomas Street,-2.578357,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-05T05:20:58+00:00,False,,White,Person search,,Stolen goods,,,,,,,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-05T05:20:58+00:00,False,,White,Person search,,Stolen goods,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-05T05:34:32+00:00,False,,White,Person search,,,,,51.500400,2286111.0,On or near Tulip Road,-2.467580,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-05T15:21:57+00:00,False,,White,Person search,,,,,51.349736,2268099.0,On or near Palmer Row,-2.976473,
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-05T15:40:04+00:00,False,,White,Person search,,,bu-no-further-action,A no further action disposal,51.428094,2275147.0,On or near Lovelinch Gardens,-2.667235,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-05T16:07:49+00:00,False,,White,Person search,,Controlled drugs,,,51.418334,2278944.0,On or near Petrol Station,-2.589164,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-05T16:27:35+00:00,True,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.492605,2280806.0,On or near Nash Drive,-2.561616,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-05T16:32:09+00:00,False,,White,Person search,,Controlled drugs,,,51.353065,2270377.0,On or near Scot Elm Drive,-2.897547,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-05T19:52:34+00:00,False,,White,Person search,,Controlled drugs,,,51.013554,2266280.0,On or near Lisieux Way,-3.078547,
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-06T05:34:38+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.436877,2278898.0,On or near Dunford Road,-2.592208,
over 34,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-06T05:35:19+00:00,False,,Black,Person search,,Controlled drugs,,,51.443852,2278325.0,On or near Dean Lane,-2.599752,
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-06T10:53:41+00:00,False,,Black,Person search,,Controlled drugs,bu-arrest,Arrest,51.455847,2280003.0,On or near St Phillips Road,-2.574593,
10-17,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-06T10:53:41+00:00,False,,Black,Person search,,Controlled drugs,bu-arrest,Arrest,51.455847,2280003.0,On or near St Phillips Road,-2.574593,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-06T12:11:53+00:00,False,,White,Person search,,Offensive weapons,,,51.498152,2277214.0,On or near Falcondale Walk,-2.617218,
10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-06T18:45:08+00:00,False,,White,Person search,,Offensive weapons,bu-community-resolution,Community resolution,51.131167,2267142.0,On or near Parking Area,-3.002738,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-06T20:22:41+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.501237,2279660.0,On or near Belmont Park,-2.580004,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-06T20:22:41+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.501237,2279660.0,On or near Belmont Park,-2.580004,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-06T22:15:59+00:00,False,,White,Person search,,Controlled drugs,,,51.377529,2288589.0,On or near Parking Area,-2.358051,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-06T22:20:18+00:00,False,,White,Person search,,Article for use in theft,,,51.439332,2281255.0,On or near Rugby Road,-2.553596,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-06T22:57:43+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.146358,2267372.0,On or near Petrol Station,-2.991774,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,,,2023-01-06T23:26:53+00:00,,,White,Person search,,,,,,,,,
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2023-01-07T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.023324,2265885.0,On or near Taunton,-3.103084,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T00:17:48+00:00,False,,Black,Person search,,Controlled drugs,,,51.548803,2287483.0,On or near Wiltshire Avenue,-2.404232,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T00:17:48+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.548803,2287483.0,On or near Wiltshire Avenue,-2.404232,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T00:20:13+00:00,False,,White,Person search,,Offensive weapons,,,51.118414,2267103.0,On or near Blackhorse Close,-3.004005,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T01:15:03+00:00,False,,White,Person search,,Offensive weapons,,,,,,,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-07T01:16:08+00:00,False,,White,Person search,,Article for use in theft,,,51.016922,2266049.0,On or near Victoria Gate,-3.091570,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-07T01:16:08+00:00,False,,White,Person search,,Article for use in theft,bu-arrest,Arrest,51.016217,2266140.0,On or near Blake Street,-3.088103,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T01:32:08+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.540537,2286912.0,On or near Petrol Station,-2.430214,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-07T01:37:28+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T02:17:39+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.381513,2288468.0,On or near Kingsmead Street,-2.363514,
18-24,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T03:28:03+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.312334,2286858.0,On or near Red Post Court,-2.433886,
18-24,,True,,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T03:28:03+00:00,False,,White,Person search,,Controlled drugs,,,51.312334,2286858.0,On or near Red Post Court,-2.433886,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T12:58:53+00:00,False,,Black,Person search,,Controlled drugs,,,,,,,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T13:34:28+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T13:34:28+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
25-34,Arrest,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-07T13:38:20+00:00,False,,White,Person search,,Article for use in theft,bu-arrest,Arrest,51.016922,2266049.0,On or near Victoria Gate,-3.091570,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T18:02:32+00:00,False,,White,Person search,,Article for use in theft,,,51.458210,2279125.0,On or near Callowhill Court,-2.587749,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.546807,2280853.0,On or near New Leaze,-2.559558,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.546807,2280853.0,On or near New Leaze,-2.559558,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.546807,2280853.0,On or near New Leaze,-2.559558,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.546807,2280853.0,On or near New Leaze,-2.559558,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.546807,2280853.0,On or near New Leaze,-2.559558,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-07T19:37:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.546807,2280853.0,On or near New Leaze,-2.559558,
10-17,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,White,Person search,,Offensive weapons,,,51.469480,2277371.0,On or near Highland Square,-2.615032,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,White,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,White,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,Mixed/Multiple ethnic groups - White and Asian,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,White,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,White,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T20:15:42+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.462000,2277784.0,On or near West Park,-2.607950,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-07T21:53:43+00:00,False,,White,Person search,,Offensive weapons,bu-arrest,Arrest,51.472324,2276840.0,On or near Stoke Road,-2.619735,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-07T21:53:43+00:00,False,,White,Person search,,Offensive weapons,,,51.472324,2276840.0,On or near Stoke Road,-2.619735,
25-34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T23:24:56+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.498152,2277214.0,On or near Falcondale Walk,-2.617218,
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-07T23:35:33+00:00,False,,White,Person search,,Controlled drugs,bu-community-resolution,Community resolution,51.381317,2288481.0,On or near Kingsmead Square,-2.362923,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-08T00:13:37+00:00,False,,White,Person search,,,,,51.433851,2279041.0,On or near Timsbury Walk,-2.589565,
,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-08T01:35:17+00:00,False,,White,Person search,,Article for use in theft,,,51.014548,2265851.0,On or near Corporation Street,-3.104957,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-08T01:51:12+00:00,False,,White,Person search,,Controlled drugs,,,51.405297,2278833.0,On or near The Groves,-2.592504,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-08T01:51:12+00:00,False,,White,Person search,,Controlled drugs,,,51.405297,2278833.0,On or near The Groves,-2.592504,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-08T03:33:09+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-08T05:29:37+00:00,False,,White,Person search,,,,,51.346920,2267952.0,On or near Richmond Street,-2.979931,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-08T13:36:07+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.439653,2278688.0,On or near Windmill Hill,-2.594388,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-08T18:25:52+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.461821,2279349.0,On or near Bishop Street,-2.584729,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-08T18:25:52+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.461821,2279349.0,On or near Bishop Street,-2.584729,
10-17,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-09T01:27:06+00:00,False,,Mixed,Person search,,Controlled drugs,,,51.457566,2279534.0,On or near New Street,-2.581566,
10-17,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T01:27:06+00:00,False,,Black,Person search,,Controlled drugs,bu-arrest,Arrest,51.458707,2279807.0,On or near Lawfords Gate,-2.578169,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-09T02:31:31+00:00,False,,White,Person search,,Offensive weapons,,,51.456790,2279640.0,On or near Lawford Street,-2.580232,
over 34,A no further action disposal,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-09T17:58:06+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.123901,2267149.0,On or near Charter Close,-3.001667,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-09T19:07:56+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.407491,2278385.0,On or near The Brambles,-2.599477,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-09T19:07:56+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.407491,2278385.0,On or near The Brambles,-2.599477,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-09T20:51:41+00:00,False,,White,Person search,,Controlled drugs,,,51.430173,2279383.0,On or near Daventry Road,-2.582426,
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T20:51:51+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.430173,2279383.0,On or near Daventry Road,-2.582426,
25-34,Arrest,True,Asian/Asian British - Indian,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T21:15:26+00:00,False,,Asian,Person search,,Controlled drugs,bu-arrest,Arrest,51.424949,2280115.0,On or near Airport Road,-2.573400,
10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-09T21:48:31+00:00,False,,White,Person search,,Offensive weapons,bu-community-resolution,Community resolution,50.954889,2276335.0,On or near Mudford Road,-2.634450,
over 34,Summons / charged by post,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T22:23:50+00:00,False,,Black,Person search,,Controlled drugs,bu-summons,Summons / charged by post,51.469893,2280838.0,On or near Bay Gardens,-2.561423,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T23:02:06+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.549817,2286841.0,On or near Broad Lane,-2.434859,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-09T23:45:00+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.551432,2286915.0,On or near Broad Lane,-2.426077,
,,False,,,Misuse of Drugs Act 1971 (section 23),True,2023-01-10T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,,,51.512406,2283623.0,On or near Pye Corner,-2.512216,
18-24,,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-10T01:19:31+00:00,True,,White,Person search,,Controlled drugs,,,51.356089,2268391.0,On or near Leewood Road,-2.970475,
18-24,,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-10T01:19:31+00:00,True,,White,Person search,,Controlled drugs,,,51.356089,2268391.0,On or near Leewood Road,-2.970475,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-10T01:19:31+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.356089,2268391.0,On or near Leewood Road,-2.970475,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-10T06:48:27+00:00,True,,Black,Person search,,Controlled drugs,,,51.446085,2279108.0,On or near Mede Close,-2.588615,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T06:48:27+00:00,True,,Black,Person search,,Controlled drugs,,,51.446085,2279108.0,On or near Mede Close,-2.588615,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:00:15+00:00,False,,White,Person search,,Controlled drugs,,,51.537874,2287127.0,On or near Blakeney Mills,-2.420557,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:00:15+00:00,False,,White,Person search,,Controlled drugs,,,51.537874,2287127.0,On or near Blakeney Mills,-2.420557,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:00:15+00:00,False,,White,Person search,,Controlled drugs,,,51.537874,2287127.0,On or near Blakeney Mills,-2.420557,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:07:38+00:00,False,,White,Person search,,Offensive weapons,,,51.195789,2264228.0,On or near Brook Street Mews,-3.465239,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:21:15+00:00,False,,,Person search,,Controlled drugs,,,51.195789,2264228.0,On or near Brook Street Mews,-3.465239,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T10:38:23+00:00,False,,,Person search,,Offensive weapons,,,51.197452,2264240.0,On or near Further/Higher Educational Building,-3.461656,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-10T12:48:52+00:00,False,,White,Person search,,Controlled drugs,,,51.377394,2288750.0,On or near Bridge Lock Mews,-2.352088,
10-17,,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-10T19:09:30+00:00,False,,Black,Person search,,Fireworks,,,51.453049,2278487.0,On or near Theatre/Concert Hall,-2.598261,
10-17,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,Firearms Act 1968 (section 47),,2023-01-10T19:09:30+00:00,False,,Mixed,Person search,,Firearms,,,,,,,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),,2023-01-10T19:09:30+00:00,False,,White,Person search,,Firearms,,,51.461709,2279159.0,On or near Wilder Street,-2.587391,
