age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
over 34,,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T12:51:31+00:00,False,,Black,Person search,,Offensive weapons,,,51.465065,2280960.0,On or near Alpine Road,-2.559421,
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-29T15:04:17+00:00,True,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.457638,2280047.0,On or near Hayes Close,-2.574270,
10-17,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T15:32:17+00:00,False,,Mixed,Person search,,,,,51.453064,2281985.0,On or near Wootton Road,-2.541587,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T15:32:17+00:00,False,,White,Person search,,,,,51.453064,2281985.0,On or near Wootton Road,-2.541587,
25-34,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-29T16:41:31+00:00,True,,Black,Person search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T17:08:01+00:00,False,,White,Person search,,Controlled drugs,,,51.469201,2278750.0,On or near Kingsley Road,-2.594138,
18-24,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-29T17:44:53+00:00,False,,Black,Person search,,Controlled drugs,bu-arrest,Arrest,51.464755,2279481.0,On or near Winkworth Place,-2.582536,
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-29T17:50:35+00:00,False,,Mixed,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.462630,2279332.0,On or near Little Bishop Street,-2.584927,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T18:01:16+00:00,False,,White,Person search,,Controlled drugs,,,51.361655,2288124.0,On or near Weatherly Avenue,-2.378969,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T18:01:16+00:00,False,,White,Person search,,Controlled drugs,,,51.361655,2288124.0,On or near Weatherly Avenue,-2.378969,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T20:22:16+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2023-01-30T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.024181,2266381.0,On or near Heron Gate,-3.066032,
25-34,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-30T08:23:27+00:00,False,,White,Person search,,Stolen goods,,,51.486332,2279231.0,On or near Churchways Crescent,-2.586584,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-30T20:43:35+00:00,False,,White,Person search,,Controlled drugs,,,51.133884,2267488.0,On or near Lower Bath Road,-2.990920,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-30T23:03:07+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,,,51.461527,2280432.0,On or near Shaw Close,-2.567769,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-30T23:03:07+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,,,51.461527,2280432.0,On or near Shaw Close,-2.567769,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-30T23:38:01+00:00,False,,White,Person search,,Articles for use in criminal damage,,,,,,,
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Psychoactive Substances Act 2016 (s36(2)),True,2023-01-31T01:42:16+00:00,False,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.453066,2278208.0,On or near Parking Area,-2.602060,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-31T01:42:16+00:00,False,,Black,Person search,,Controlled drugs,,,51.453066,2278208.0,On or near Parking Area,-2.602060,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-31T02:45:40+00:00,False,,,Person search,,Controlled drugs,,,51.463611,2280256.0,On or near Lansdown Road,-2.569983,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-31T02:54:45+00:00,False,,White,Person search,,Article for use in theft,,,51.428038,2277190.0,On or near Lilton Walk,-2.614935,
